Instance Size;Average Cost;Average Time
50;2063.80;0.00
100;5424.03;0.00
200;15251.10;0.01
500;63963.78;0.08
1000;190283.75;0.46
2000;556253.78;1.39
5000;2166858.49;6.47
10000;6075485.45;0.61
