Instance Size;Average Cost;Average Time
50;2375.48;0.00
100;6360.66;0.00
200;18396.00;0.01
500;72872.70;0.11
1000;205929.60;0.59
2000;557301.84;3.79
5000;2200273.61;52.78
10000;5816966.22;414.01
