Instance Size;Average Cost;Average Time
50;2108.46;0.01
100;5839.40;0.01
200;17361.03;0.04
500;70625.32;0.34
1000;202744.31;1.94
2000;551424.15;11.65
5000;2194514.39;155.31
10000;5804197.93;1246.83
